Sample Name	Protocol REF	Parameter Value[Concentration measurement]	Performer	Date	Extract Name	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Provider name]	Parameter Value[Provider contact]	Parameter Value[Provider project ID]	Parameter Value[Provider sample ID]	Parameter Value[Provider QC status]	Parameter Value[Requestor contact]	Parameter Value[Requestor project]	Parameter Value[Requestor sample ID]	Parameter Value[Concentration measurement]	Parameter Value[Library source]	Parameter Value[Library strategy]	Parameter Value[Library selection]	Parameter Value[Library layout]	Parameter Value[Library kit]	Parameter Value[Target insert size]	Parameter Value[Wet-lab insert size]	Parameter Value[Barcode kit]	Parameter Value[Barcode kit catalogue ID]	Parameter Value[Barcode name]	Parameter Value[Barcode sequence]	Performer	Date	Extract Name	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Platform]	Parameter Value[Instrument model]	Parameter Value[Target read length]	Parameter Value[Target read length (mate 2)]	Parameter Value[Base quality encoding]	Parameter Value[Center name]	Parameter Value[Center contact]	Comment[DKFZ id]	Comment[Submission]	Performer	Date	Assay Name	Raw Data File
564CC2-T1	Nucleic acid extraction RNA-Seq				564CC2_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									564CC2-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	10800				
59SJVC-T1	Nucleic acid extraction RNA-Seq				59SJVC_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									59SJVC-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	11060				
5KNNV4-T1	Nucleic acid extraction RNA-Seq				5KNNV4_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq RNA									5KNNV4-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T2-R1	7450				
6XB3UH_2-T1	Nucleic acid extraction RNA-Seq				6XB3UH_2_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq RNA									6XB3UH_2-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	6728				
6XB3UH-T1	Nucleic acid extraction RNA-Seq				6XB3UH_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq RNA									6XB3UH-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	6635				
7NBDEC-T1	Nucleic acid extraction RNA-Seq				7NBDEC_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									7NBDEC-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	10557				
7QXG3R-T1	Nucleic acid extraction RNA-Seq				7QXG3R_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									7QXG3R-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	10120				
85RCNZ-T1	Nucleic acid extraction RNA-Seq				85RCNZ_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq RNA									85RCNZ-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M2-R1	7365				
8CKA4N-T1	Nucleic acid extraction RNA-Seq				8CKA4N_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									8CKA4N-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	NovaSeq 6000			Phred+33	DKFZ Heidelberg		M2-R1	17127				
8LKUL5-T1	Nucleic acid extraction RNA-Seq				8LKUL5_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									8LKUL5-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M2-R1	10281				
9P2CB2-T1	Nucleic acid extraction RNA-Seq				9P2CB2_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									9P2CB2-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	14114				
A84J3R-T1	Nucleic acid extraction RNA-Seq				A84J3R_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									A84J3R-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	12882				
ACRUC7-T1	Nucleic acid extraction RNA-Seq				ACRUC7_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									ACRUC7-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T2-R1	15092				
AFT72Q-T1	Nucleic acid extraction RNA-Seq				AFT72Q_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									AFT72Q-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	15749				
AZMQH1-T1	Nucleic acid extraction RNA-Seq				AZMQH1_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									AZMQH1-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	10557				
BDALZ4-T1	Nucleic acid extraction RNA-Seq				BDALZ4_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									BDALZ4-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	12655				
BK9AH6-T1	Nucleic acid extraction RNA-Seq				BK9AH6_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									BK9AH6-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	11209				
BYMCHP-T1	Nucleic acid extraction RNA-Seq				BYMCHP_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									BYMCHP-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	NovaSeq 6000			Phred+33	DKFZ Heidelberg		M6-R1	17128				
CT6399-T1	Nucleic acid extraction RNA-Seq				CT6399_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									CT6399-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T2-R1	9914				
DZF89G-T1	Nucleic acid extraction RNA-Seq				DZF89G_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq RNA									DZF89G-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T2-R1	7455				
E5KAJN-T1	Nucleic acid extraction RNA-Seq				E5KAJN_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									E5KAJN-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	7543				
E7QJNL-T1	Nucleic acid extraction RNA-Seq				E7QJNL_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									E7QJNL-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	12882				
ED213Q-T1	Nucleic acid extraction RNA-Seq				ED213Q_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									ED213Q-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	15801				
EFYF36-T1	Nucleic acid extraction RNA-Seq				EFYF36_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									EFYF36-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	15580				
EQCZ8A-T1	Nucleic acid extraction RNA-Seq				EQCZ8A_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									EQCZ8A-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	14928				
EWD6B4-T1	Nucleic acid extraction RNA-Seq				EWD6B4_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq RNA									EWD6B4-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	7048				
F425SR-T1	Nucleic acid extraction RNA-Seq				F425SR_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									F425SR-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	NovaSeq 6000			Phred+33	DKFZ Heidelberg		M1-R1	16831				
FQVVMY-T1	Nucleic acid extraction RNA-Seq				FQVVMY_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq RNA									FQVVMY-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T?-R?	NA				
G3NJA9-T1	Nucleic acid extraction RNA-Seq				G3NJA9_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq RNA									G3NJA9-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	7048				
GNC44G-T1	Nucleic acid extraction RNA-Seq				GNC44G_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									GNC44G-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	15684				
GVUQVK-T1	Nucleic acid extraction RNA-Seq				GVUQVK_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									GVUQVK-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	14264				
GWXHNP-T1	Nucleic acid extraction RNA-Seq				GWXHNP_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									GWXHNP-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	NovaSeq 6000			Phred+33	DKFZ Heidelberg		M1-R1	17128				
H1QED3-T1	Nucleic acid extraction RNA-Seq				H1QED3_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									H1QED3-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	15801				
HBBBHZ-T1	Nucleic acid extraction RNA-Seq				HBBBHZ_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									HBBBHZ-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M2-R1	15092				
HCWEB6_2-T1	Nucleic acid extraction RNA-Seq				HCWEB6_2_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									HCWEB6_2-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T7-R1	15280				
JB4YSM-T1	Nucleic acid extraction RNA-Seq				JB4YSM_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									JB4YSM-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	HiSeq X Ten			Phred+33	DKFZ Heidelberg		T1-R1	8982				
JWF6LU-T1	Nucleic acid extraction RNA-Seq				JWF6LU_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									JWF6LU-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M2-R1	11295				
K4HGF6-T1	Nucleic acid extraction RNA-Seq				K4HGF6_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									K4HGF6-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	11295				
K4HGF6-T2	Nucleic acid extraction RNA-Seq				K4HGF6_T2-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									K4HGF6-T2-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	11371				
K7MPS3_2-T1	Nucleic acid extraction RNA-Seq				K7MPS3_2_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									K7MPS3_2-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M3-R1	10346				
K7MPS3_3-T1	Nucleic acid extraction RNA-Seq				K7MPS3_3_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									K7MPS3_3-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M5-R1	12561				
K7MPS3-T1	Nucleic acid extraction RNA-Seq				K7MPS3_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									K7MPS3-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	7588				
LCXFNW-T1	Nucleic acid extraction RNA-Seq				LCXFNW_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq RNA									LCXFNW-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	7048				
M1CR6Z-T1	Nucleic acid extraction RNA-Seq				M1CR6Z_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									M1CR6Z-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	HiSeq X Ten			Phred+33	DKFZ Heidelberg		T1-R1	8793				
M695F5-T1	Nucleic acid extraction RNA-Seq				M695F5_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									M695F5-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	HiSeq X Ten			Phred+33	DKFZ Heidelberg		T1-R1	9229				
MDR1JB-T1	Nucleic acid extraction RNA-Seq				MDR1JB_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq RNA									MDR1JB-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M2-R1	7048				
MDR1JB-T2	Nucleic acid extraction RNA-Seq				MDR1JB_T2-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									MDR1JB-T2-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	HiSeq X Ten			Phred+33	DKFZ Heidelberg		T2-R1	8382				
MK4VUW-T1	Nucleic acid extraction RNA-Seq				MK4VUW_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									MK4VUW-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T1-R1	7858				
MP5X65-T1	Nucleic acid extraction RNA-Seq				MP5X65_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									MP5X65-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	14264				
MTNJ4Y-T1	Nucleic acid extraction RNA-Seq				MTNJ4Y_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									MTNJ4Y-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M2-R1	15280				
MVH5GW-T1	Nucleic acid extraction RNA-Seq				MVH5GW_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									MVH5GW-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	HiSeq X Ten			Phred+33	DKFZ Heidelberg		T1-R1	8903				
N22K6U-T1	Nucleic acid extraction RNA-Seq				N22K6U_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									N22K6U-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		M1-R1	15092				
NTFSFS-T1	Nucleic acid extraction RNA-Seq				NTFSFS_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									NTFSFS-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	HiSeq X Ten			Phred+33	DKFZ Heidelberg		T2-R1	8382				
NU654U-T1	Nucleic acid extraction RNA-Seq				NU654U_T1-RNA1-mRNA_seq1					Library construction RNA-Seq										TRANSCRIPTOMIC	RNA-Seq		PAIRED	Illumina TruSeq Stranded RNA									NU654U-T1-RNA1-mRNA_seq1					Nucleic acid sequencing RNA-Seq	ILLUMINA	Illumina HiSeq 4000			Phred+33	DKFZ Heidelberg		T2-R1	12655				
